year,category,resource,number,percent
2007,b2b,2.2.2,648,0.663
2007,b2b,others,329,0.337
2007,b2c,2.2.2,79,0.223
2007,b2c,3.1.2,167,0.472
2007,b2c,others,108,0.305
2008,b2b,2.2.2,645,0.655
2008,b2b,others,340,0.345
2008,b2c,2.2.2,81,0.23
2008,b2c,3.1.2,164,0.466
2008,b2c,others,107,0.304
2009,b2b,2.2.2,641,0.651
2009,b2b,3.3.2,100,0.102
2009,b2b,others,243,0.247
2009,b2c,2.2.2,80,0.226
2009,b2c,3.1.2,165,0.466
2009,b2c,others,109,0.308
2010,b2b,2.2.2,637,0.643
2010,b2b,3.3.2,108,0.109
2010,b2b,others,245,0.247
2010,b2c,2.2.2,83,0.227
2010,b2c,3.1.2,173,0.474
2010,b2c,others,109,0.299
2011,b2b,2.2.2,638,0.62
2011,b2b,3.3.2,142,0.138
2011,b2b,others,249,0.242
2011,b2c,2.2.2,83,0.224
2011,b2c,3.1.2,177,0.477
2011,b2c,others,111,0.299
2012,b2b,2.2.2,649,0.605
2012,b2b,3.3.2,175,0.163
2012,b2b,others,248,0.231
2012,b2c,2.2.2,80,0.212
2012,b2c,3.1.2,181,0.48
2012,b2c,others,116,0.308
2013,b2b,2.2.2,650,0.583
2013,b2b,3.3.2,213,0.191
2013,b2b,others,251,0.225
2013,b2c,2.2.2,81,0.208
2013,b2c,3.1.2,190,0.488
2013,b2c,others,118,0.303
2014,b2b,2.2.2,647,0.579
2014,b2b,3.3.2,221,0.198
2014,b2b,others,249,0.223
2014,b2c,2.2.2,80,0.205
2014,b2c,3.1.2,191,0.488
2014,b2c,others,120,0.307
2015,b2b,2.2.2,614,0.565
2015,b2b,3.3.2,229,0.211
2015,b2b,others,243,0.224
2015,b2c,2.2.2,78,0.206
2015,b2c,3.1.2,183,0.483
2015,b2c,others,118,0.311
2016,b2b,2.2.2,572,0.564
2016,b2b,3.3.2,216,0.213
2016,b2b,others,227,0.224
2016,b2c,2.2.2,71,0.2
2016,b2c,3.1.2,178,0.501
2016,b2c,others,106,0.299
